="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",=""
="T",="0.0063",="(0.0058)",="0.0029",="(0.0030)",="0.0114+",="(0.0058)",="0.0060***",="(0.0017)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_SPI32nd",="0.0465",="(0.0477)",="0.0506",="(0.0431)",="0.0432",="(0.0393)",="0.0512",="(0.0411)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="-0.0078",="(0.0157)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_SPI32nd_Loc",="0.0119",="(0.0848)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI32nd_Loc",="-0.0553",="(0.0554)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3Below2nd",="-0.0753**",="(0.0275)",="-0.0955***",="(0.0254)",="-0.1038***",="(0.0292)",="-0.0961***",="(0.0248)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="0.0028",="(0.0167)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="0.4382**",="(0.1483)",="0.4371**",="(0.1339)",="0.4465**",="(0.1400)",="0.4464**",="(0.1400)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataTI3",="-0.1014",="(0.1222)",="-0.1191",="(0.1078)",="-0.1328",="(0.1165)",="-0.1258",="(0.1144)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.0006",="(0.0004)",="0.0007*",="(0.0003)",="0.0008**",="(0.0003)",="0.0007*",="(0.0003)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="-0.0607*",="(0.0288)",="-0.0438",="(0.0320)",="-0.0414",="(0.0338)",="-0.0403",="(0.0338)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Var_low",="-0.0157",="(0.0248)",="-0.0182",="(0.0229)",="-0.0177",="(0.0225)",="-0.0196",="(0.0222)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="age",="0.0002",="(0.0005)",="0.0004",="(0.0005)",="0.0001",="(0.0005)",="0.0003",="(0.0005)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender",="0.0032",="(0.0082)",="0.0048",="(0.0079)",="0.0092",="(0.0078)",="0.0066",="(0.0069)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="employed_q3",="0.0018",="(0.0136)",="-0.0001",="(0.0155)",="-0.0003",="(0.0132)",="-0.0003",="(0.0161)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="formal_education_q5",="-0.0301**",="(0.0098)",="-0.0297***",="(0.0089)",="-0.0298***",="(0.0069)",="-0.0293***",="(0.0073)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pastoral_q6",="0.0532**",="(0.0178)",="0.0443*",="(0.0180)",="0.0581***",="(0.0157)",="0.0514**",="(0.0174)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="low_ses_q15",="0.0308+",="(0.0158)",="0.0253",="(0.0166)",="0.0449**",="(0.0160)",="0.0458**",="(0.0154)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="included_q11",="-0.0167*",="(0.0077)",="-0.0119**",="(0.0041)",="-0.0009",="(0.0102)",="-0.0098",="(0.0065)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="attacked_1yr",="0.0467*",="(0.0197)",="0.0416*",="(0.0162)",="0.0420**",="(0.0150)",="0.0457**",="(0.0156)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="eth_match",="0.0261**",="(0.0098)",="0.0307**",="(0.0094)",="0.0167",="(0.0139)",="0.0250*",="(0.0117)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender_match",="0.0172*",="(0.0071)",="0.0246***",="(0.0061)",="0.0201**",="(0.0063)",="0.0237**",="(0.0073)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="-0.0038",="(0.0200)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_SPI32nd_Trad",="",="",="-0.0586",="(0.0418)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
