="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",=""
="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",=""
="T",="0.0187",="(0.0174)",="0.0204",="(0.0173)",="0.0175",="(0.0168)",="",="",="",="",="",=""
="T_RepDrt",="-0.0115",="(0.0247)",="-0.0123",="(0.0245)",="-0.0087",="(0.0237)",="",="",="",="",="",=""
="RepDrt",="0.0481*",="(0.0193)",="0.0469**",="(0.0180)",="0.0334*",="(0.0157)",="",="",="",="",="",=""
="const_term",="0.3337***",="(0.0137)",="0.5311***",="(0.1406)",="0.3874**",="(0.1203)",="",="",="",="",="",=""
="DataVCI",="",="",="0.0097",="(0.0585)",="-0.0091",="(0.0485)",="",="",="",="",="",=""
="DataTI3",="",="",="-0.1550",="(0.1195)",="-0.0679",="(0.1029)",="",="",="",="",="",=""
="SumPre5_50k",="",="",="-0.0000",="(0.0005)",="0.0003",="(0.0004)",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="",="",="-0.0194",="(0.0258)",="-0.0360",="(0.0263)",="",="",="",="",="",=""
="Var_low",="",="",="-0.0555+",="(0.0305)",="-0.0319",="(0.0280)",="",="",="",="",="",=""
="age",="",="",="",="",="-0.0001",="(0.0005)",="",="",="",="",="",=""
="gender",="",="",="",="",="0.0067",="(0.0073)",="",="",="",="",="",=""
="employed_q3",="",="",="",="",="0.0042",="(0.0176)",="",="",="",="",="",=""
="formal_education_q5",="",="",="",="",="-0.0348**",="(0.0108)",="",="",="",="",="",=""
="pastoral_q6",="",="",="",="",="0.0513***",="(0.0139)",="",="",="",="",="",=""
="low_ses_q15",="",="",="",="",="0.0316*",="(0.0153)",="",="",="",="",="",=""
="included_q11",="",="",="",="",="-0.0082",="(0.0186)",="",="",="",="",="",=""
="attacked_1yr",="",="",="",="",="0.0511***",="(0.0145)",="",="",="",="",="",=""
="eth_match",="",="",="",="",="0.0329**",="(0.0100)",="",="",="",="",="",=""
="gender_match",="",="",="",="",="0.0186*",="(0.0093)",="",="",="",="",="",=""
="weather_lied",="",="",="",="",="-0.0466",="(0.0283)",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="0.0072",="(0.0151)",="0.0082",="(0.0153)",="0.0088",="(0.0138)"
="N",="1346",="",="1346",="",="1346",="",="1346",="",="1346",="",="1346",=""
="R-sq",="0.760",="",="0.762",="",="0.773",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
