="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",=""
="T",="-0.0107",="(0.0184)",="-0.0092",="(0.0186)",="0.0106",="(0.0179)",="0.0035",="(0.0150)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt",="0.0365",="(0.0237)",="0.0321",="(0.0234)",="0.0072",="(0.0270)",="0.0127",="(0.0257)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="0.0690+",="(0.0361)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Loc",="-0.1227*",="(0.0529)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Loc",="0.0159",="(0.0335)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt",="0.0257",="(0.0163)",="0.0066",="(0.0193)",="0.0309",="(0.0192)",="0.0116",="(0.0186)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="-0.0132",="(0.0212)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="0.3846**",="(0.1194)",="0.4010***",="(0.1169)",="0.3884***",="(0.1159)",="0.4028***",="(0.1141)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataVCI",="-0.0223",="(0.0545)",="-0.0060",="(0.0485)",="-0.0100",="(0.0574)",="-0.0244",="(0.0442)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataTI3",="-0.0542",="(0.1068)",="-0.0858",="(0.1005)",="-0.0888",="(0.1059)",="-0.0827",="(0.0966)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.0003",="(0.0005)",="0.0004",="(0.0004)",="0.0005",="(0.0005)",="0.0004",="(0.0004)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="-0.0565*",="(0.0288)",="-0.0369",="(0.0292)",="-0.0360",="(0.0276)",="-0.0370",="(0.0286)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Var_low",="-0.0295",="(0.0291)",="-0.0317",="(0.0256)",="-0.0348",="(0.0280)",="-0.0402",="(0.0261)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="age",="0.0001",="(0.0005)",="0.0003",="(0.0005)",="-0.0000",="(0.0005)",="0.0002",="(0.0005)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender",="0.0026",="(0.0081)",="0.0043",="(0.0072)",="0.0090",="(0.0083)",="0.0051",="(0.0094)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="employed_q3",="-0.0003",="(0.0173)",="0.0001",="(0.0179)",="0.0005",="(0.0159)",="0.0014",="(0.0175)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="formal_education_q5",="-0.0293**",="(0.0108)",="-0.0245*",="(0.0108)",="-0.0292**",="(0.0106)",="-0.0259*",="(0.0112)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pastoral_q6",="0.0487***",="(0.0147)",="0.0395**",="(0.0139)",="0.0537***",="(0.0140)",="0.0466***",="(0.0137)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="low_ses_q15",="0.0277+",="(0.0148)",="0.0244",="(0.0159)",="0.0416*",="(0.0168)",="0.0427**",="(0.0157)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
