"","COUNTY","Reported.Drought","Local.Rules.Exist","Traditional.Rules.Exist","More.Local.Rules.Exist","More.Traditional.Rules.Exist"
"1","NAIROBI             ",1,1,0,0,0
"2","NAIROBI             ",1,1,1,0,0
"3","NAIROBI             ",0,1,0,1,0
"4","NAIROBI             ",0,1,0,1,0
"5","NAIROBI             ",1,0,0,0,0
"6","NAIROBI             ",1,1,1,0,0
"7","NAIROBI             ",1,1,1,1,1
"8","NAIROBI             ",1,0,1,0,0
"9","NAIROBI             ",1,0,0,0,0
"10","NAIROBI             ",1,0,0,0,1
"11","NAIROBI             ",0,1,1,0,0
"12","NAIROBI             ",0,1,1,0,0
"13","NAIROBI             ",1,0,0,0,0
"14","NAIROBI             ",1,1,1,0,0
"15","NAIROBI             ",1,0,0,0,0
"16","NAIROBI             ",0,0,0,0,0
"17","NAIROBI             ",1,0,0,0,0
"18","NAIROBI             ",1,1,1,1,0
"19","NAIROBI             ",0,1,1,0,0
"20","NAIROBI             ",0,1,1,1,1
"21","NAIROBI             ",1,1,0,0,0
"22","NAIROBI             ",1,1,1,0,0
"23","NAIROBI             ",1,1,1,1,1
"24","NAIROBI             ",1,0,0,0,0
"25","NAIROBI             ",1,0,0,0,0
"26","NAIROBI             ",1,1,1,1,0
"27","NAIROBI             ",0,1,0,1,0
"28","NAIROBI             ",0,1,1,1,1
"29","NAIROBI             ",1,0,1,0,0
"30","NAIROBI             ",1,0,1,0,0
"31","NAIROBI             ",1,0,0,0,0
"32","NAIROBI             ",1,1,1,1,0
"33","NAIROBI             ",0,0,0,0,0
"34","NAIROBI             ",0,0,0,0,0
"35","NAIROBI             ",0,0,0,0,0
"36","NAIROBI             ",0,0,0,0,0
"37","NAIROBI             ",0,0,0,0,0
"38","NAIROBI             ",0,0,0,0,0
"39","NAIROBI             ",0,0,0,0,1
"40","NAIROBI             ",1,0,0,1,0
"41","NAIROBI             ",0,0,0,0,0
"42","NAIROBI             ",0,0,0,0,0
"43","NAIROBI             ",0,0,0,0,0
"44","NAIROBI             ",0,0,0,0,0
"45","NAIROBI             ",1,0,0,0,0
"46","NAIROBI             ",0,0,0,1,0
"47","NAIROBI             ",1,0,0,0,0
"48","NAIROBI             ",0,0,0,0,0
"49","NAIROBI             ",0,0,0,0,0
"50","NAIROBI             ",0,0,0,1,0
"51","NAIROBI             ",0,0,0,0,0
"52","NAIROBI             ",1,0,0,0,0
"53","NAIROBI             ",1,0,0,0,0
"54","NAIROBI             ",0,0,0,0,0
"55","NAIROBI             ",0,0,0,0,0
"56","NAIROBI             ",0,0,0,0,0
"57","NAIROBI             ",0,0,0,0,0
"58","NAIROBI             ",1,0,0,0,0
"59","NAIROBI             ",1,0,0,0,0
"60","NAIROBI             ",1,0,0,0,0
"61","NAIROBI             ",0,0,0,0,0
"62","NAIROBI             ",0,0,0,0,0
"63","NAIROBI             ",0,0,0,0,0
"64","NAIROBI             ",0,0,0,0,0
"65","NAIROBI             ",0,0,0,0,0
"66","NAIROBI             ",1,0,0,0,0
"67","NAIROBI             ",0,0,0,0,0
"68","NAIROBI             ",0,0,0,0,0
"69","NAIROBI             ",0,0,0,0,0
"70","NAIROBI             ",0,0,0,0,1
"71","NAIROBI             ",0,0,0,0,0
"72","NAIROBI             ",1,0,0,0,0
"73","NAIROBI             ",0,0,0,0,0
"74","NAIROBI             ",0,0,0,0,0
"75","NAIROBI             ",0,0,0,0,0
"76","NAIROBI             ",1,0,0,0,0
"77","NAIROBI             ",1,0,0,0,0
"78","NAIROBI             ",0,0,0,0,0
"79","NAIROBI             ",1,0,0,0,0
"80","NAIROBI             ",1,0,0,0,0
"81","NAIROBI             ",1,0,1,1,1
"82","NAIROBI             ",0,0,0,0,0
"83","NAIROBI             ",1,0,1,0,0
"84","NAIROBI             ",1,0,0,0,0
"85","NAIROBI             ",1,0,0,0,0
"86","NAIROBI             ",1,0,0,0,0
"87","NAIROBI             ",1,0,0,0,0
"88","NAIROBI             ",1,0,0,0,0
"89","NAIROBI             ",0,0,0,1,0
"90","NAIROBI             ",1,0,0,0,0
"91","NAIROBI             ",1,1,0,0,0
"92","NAIROBI             ",0,0,0,0,0
"93","NAIROBI             ",0,0,0,0,0
"94","NAIROBI             ",1,0,0,0,0
"95","NAIROBI             ",1,1,1,0,1
"96","NAIROBI             ",1,0,1,0,0
"97","NAIROBI             ",1,1,1,0,1
"98","NAIROBI             ",0,1,0,1,1
"99","NAIROBI             ",1,1,0,0,0
"100","NAIROBI             ",1,0,0,0,0
"101","NAIROBI             ",1,1,0,0,0
"102","NAIROBI             ",1,1,0,0,0
"103","NAIROBI             ",0,1,1,1,0
"104","NAIROBI             ",1,0,0,1,0
"105","NAIROBI             ",1,1,0,0,0
"106","NAIROBI             ",1,0,0,0,0
"107","NAIROBI             ",0,0,0,1,0
"108","NYERI               ",0,0,1,0,1
"109","NYERI               ",1,0,1,0,1
"110","NYERI               ",1,1,1,1,1
"111","NYERI               ",1,1,0,1,0
"112","NYERI               ",0,0,0,0,0
"113","NYERI               ",0,0,0,0,1
"114","NYERI               ",1,0,1,0,0
"115","NYERI               ",1,0,1,0,0
"116","NYERI               ",0,0,1,0,0
"117","NYERI               ",1,1,1,1,1
"118","NYERI               ",0,1,1,1,1
"119","NYERI               ",0,0,1,0,1
"120","NYERI               ",1,0,0,0,0
"121","NYERI               ",0,0,1,0,1
"122","NYERI               ",0,0,0,0,0
"123","NYERI               ",1,0,1,0,0
"124","NYERI               ",1,0,0,0,0
"125","NYERI               ",1,0,0,0,0
"126","NYERI               ",1,0,0,0,0
"127","NYERI               ",1,0,0,0,0
"128","NYERI               ",0,1,0,0,0
"129","NYERI               ",1,0,0,0,0
"130","NYERI               ",0,1,1,1,1
"131","NYERI               ",0,1,1,0,0
"132","NYERI               ",1,0,0,0,0
"133","NYERI               ",0,0,0,0,0
"134","NYERI               ",0,0,0,0,0
"135","NYERI               ",0,0,0,0,0
"136","NYERI               ",0,1,0,0,0
"137","NYERI               ",0,1,1,0,0
"138","NYERI               ",0,1,1,0,0
"139","NYERI               ",0,1,1,0,0
"140","NYERI               ",0,1,0,0,0
"141","NYERI               ",0,0,0,0,0
"142","NYERI               ",0,0,0,0,0
"143","NYERI               ",0,0,0,0,0
"144","NYERI               ",1,1,1,1,1
"145","NYERI               ",0,0,0,0,0
"146","MURANGA             ",0,0,0,0,0
"147","MURANGA             ",1,0,0,0,0
"148","MURANGA             ",0,1,1,1,1
"149","MURANGA             ",1,1,1,1,0
"150","MURANGA             ",1,0,0,0,0
"151","MURANGA             ",1,0,0,0,0
"152","MURANGA             ",0,0,1,0,0
"153","MURANGA             ",1,0,1,0,1
"154","MURANGA             ",0,0,1,0,1
"155","MURANGA             ",0,0,1,0,0
"156","MURANGA             ",1,0,1,0,1
"157","MURANGA             ",0,0,0,0,0
"158","MURANGA             ",0,0,0,0,0
"159","MURANGA             ",1,0,0,0,0
"160","MURANGA             ",1,0,0,0,0
"161","MURANGA             ",1,1,0,1,1
"162","MURANGA             ",0,1,1,0,1
"163","MURANGA             ",0,1,1,1,1
"164","MURANGA             ",0,0,0,0,0
"165","MURANGA             ",0,0,0,0,0
"166","MURANGA             ",0,0,0,0,0
"167","MURANGA             ",0,0,0,0,0
"168","MURANGA             ",1,1,0,1,0
"169","MURANGA             ",0,0,0,0,0
"170","MURANGA             ",0,0,0,1,1
"171","MURANGA             ",0,1,0,0,0
"172","MURANGA             ",0,0,0,0,0
"173","MURANGA             ",1,0,0,0,0
"174","MURANGA             ",0,0,0,0,0
"175","MURANGA             ",0,0,0,1,1
"176","MURANGA             ",0,0,0,0,0
"177","MURANGA             ",0,0,0,0,0
"178","MURANGA             ",0,1,1,1,0
"179","MURANGA             ",0,0,0,0,0
"180","MURANGA             ",0,0,0,0,0
"181","MURANGA             ",1,0,0,1,0
"182","MURANGA             ",1,0,0,0,0
"183","MURANGA             ",1,0,0,0,0
"184","MURANGA             ",1,1,0,1,1
"185","MURANGA             ",1,1,0,0,0
"186","MURANGA             ",1,0,0,0,0
"187","MURANGA             ",1,1,1,1,1
"188","MURANGA             ",1,0,0,0,0
"189","MURANGA             ",1,0,0,0,0
"190","MURANGA             ",1,0,0,0,0
"191","MURANGA             ",0,0,0,0,0
"192","MURANGA             ",1,1,0,1,0
"193","MURANGA             ",0,1,0,1,0
"194","MURANGA             ",0,1,1,1,1
"195","MURANGA             ",0,0,0,0,0
"196","MURANGA             ",1,0,0,0,0
"197","MURANGA             ",1,0,0,0,0
"198","MURANGA             ",0,0,0,0,0
"199","MURANGA             ",0,0,0,0,0
"200","MURANGA             ",0,0,0,0,0
"201","MOMBASA             ",1,1,0,0,0
"202","MOMBASA             ",1,1,0,1,0
"203","MOMBASA             ",0,0,0,0,0
"204","MOMBASA             ",0,0,0,0,0
"205","MOMBASA             ",1,0,0,0,0
"206","MOMBASA             ",0,0,0,0,0
"207","MOMBASA             ",1,0,0,0,0
"208","MOMBASA             ",1,0,0,0,0
"209","MOMBASA             ",0,0,0,0,0
"210","MOMBASA             ",0,0,0,0,0
"211","MOMBASA             ",1,0,0,0,0
"212","MOMBASA             ",1,0,0,0,0
"213","MOMBASA             ",0,0,0,0,0
"214","MOMBASA             ",0,0,0,0,0
"215","MOMBASA             ",1,0,0,0,0
"216","MOMBASA             ",0,0,0,0,0
"217","MOMBASA             ",0,1,1,0,0
"218","MOMBASA             ",0,0,0,0,0
"219","MOMBASA             ",1,0,0,0,0
"220","MOMBASA             ",0,0,0,0,0
"221","MOMBASA             ",1,0,0,0,0
"222","MOMBASA             ",1,0,0,1,0
"223","MOMBASA             ",0,1,0,1,0
"224","MOMBASA             ",1,0,0,0,0
"225","MOMBASA             ",1,0,0,0,0
"226","MOMBASA             ",1,0,0,0,0
"227","MOMBASA             ",0,0,0,0,0
