="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",="",="vio_support",=""
="T",="-0.0050",="(.)",="-0.0085",="(0.0114)",="0.0143",="(0.0110)",="0.0081",="(0.0157)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt",="0.0322+",="(0.0184)",="0.0314+",="(0.0187)",="0.0023",="(0.0236)",="0.0043",="(0.0307)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="0.0561*",="(0.0271)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Loc",="-0.1205*",="(0.0514)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Loc",="0.0127",="(0.0274)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt",="0.0401*",="(0.0189)",="0.0124",="(0.0182)",="0.0490*",="(0.0222)",="0.0267",="(0.0206)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="-0.0020",="(0.0132)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="0.3360***",="(0.0199)",="0.3411***",="(0.0211)",="0.3226***",="(0.0199)",="0.3415***",="(0.0194)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="0.0819*",="(0.0335)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Trad",="",="",="-0.1411***",="(0.0397)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Trad",="",="",="0.1123***",="(0.0320)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="-0.0235",="(0.0233)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="0.0521",="(0.0567)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_MoreLoc",="",="",="",="",="-0.1383+",="(0.0783)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_MoreLoc",="",="",="",="",="0.0558",="(0.0348)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="0.0031",="(0.0191)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="0.0825*",="(0.0320)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_MoreTrad",="",="",="",="",="",="",="-0.1545**",="(0.0480)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_MoreTrad",="",="",="",="",="",="",="0.1676***",="(0.0488)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="-0.0615*",="(0.0282)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="0.0272*",="(0.0127)",="-0.0372",="(0.0272)",="0.0229***",="(0.0049)",="-0.0363",="(0.0269)",="0.0124",="(0.0171)",="-0.0696*",="(0.0336)",="0.0124",="(0.0171)",="-0.0596+",="(0.0322)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1194",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.761",="",="0.765",="",="0.762",="",="0.765",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
