="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",="",="(9)",="",="(10)",="",="(11)",="",="(12)",=""
="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",="",="SumPost1_25k",=""
="T",="-0.4025",="(0.4150)",="-0.3400",="(0.3278)",="-0.0433",="(0.5215)",="-0.3769",="(0.3778)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt",="0.7255",="(0.4555)",="0.9037*",="(0.4382)",="0.3678",="(0.5435)",="0.7694+",="(0.4347)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Loc",="0.4005",="(0.3615)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Loc",="-0.4771",="(0.4320)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Loc",="0.0565",="(0.2541)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt",="0.5216+",="(0.2809)",="0.4619*",="(0.2340)",="0.6924+",="(0.4092)",="0.4932+",="(0.2821)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="loc_rules_bi",="0.3273",="(0.2520)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="const_term",="2.5104",="(3.7526)",="2.0619",="(3.7057)",="2.6105",="(3.5890)",="1.8785",="(3.7562)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataVCI",="-3.4436",="(2.5543)",="-3.2433",="(2.5111)",="-3.1897",="(2.5401)",="-3.5558",="(2.6100)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="DataTI3",="-1.1672",="(2.9329)",="-1.0193",="(2.9656)",="-1.5376",="(2.8549)",="-0.7176",="(3.0797)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SumPre5_50k",="0.1767***",="(0.0342)",="0.1787***",="(0.0345)",="0.1747***",="(0.0356)",="0.1804***",="(0.0345)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="SPI3mean2013_07_2014_06",="0.3623",="(1.5231)",="0.4411",="(1.4988)",="0.2742",="(1.4811)",="0.2713",="(1.5274)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Var_low",="-3.6011+",="(1.9407)",="-3.3792+",="(1.8611)",="-3.5662+",="(1.9292)",="-3.4653+",="(1.8906)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="age",="-0.0169*",="(0.0085)",="-0.0152*",="(0.0077)",="-0.0165+",="(0.0090)",="-0.0139+",="(0.0077)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender",="0.0995",="(0.1201)",="-0.0008",="(0.0950)",="0.0380",="(0.1070)",="-0.0487",="(0.1079)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="employed_q3",="0.0421",="(0.2307)",="0.0385",="(0.2208)",="-0.0718",="(0.1881)",="0.0556",="(0.2142)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="formal_education_q5",="0.5234**",="(0.2025)",="0.6876**",="(0.2381)",="0.6537**",="(0.2339)",="0.6515**",="(0.2295)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="pastoral_q6",="-0.5373",="(0.4639)",="-0.5558",="(0.4558)",="-0.3954",="(0.4599)",="-0.4551",="(0.4613)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="low_ses_q15",="0.0491",="(0.2284)",="0.0263",="(0.1901)",="0.0266",="(0.2189)",="0.0496",="(0.2013)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="included_q11",="0.2307",="(0.9188)",="0.1667",="(0.8999)",="0.3237",="(0.8711)",="0.1262",="(0.8941)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="attacked_1yr",="0.0827",="(0.2718)",="0.1626",="(0.2524)",="0.0309",="(0.3203)",="0.1353",="(0.2769)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="eth_match",="-1.2350",="(0.9377)",="-1.2372",="(0.9086)",="-1.2244",="(0.9345)",="-1.2782",="(0.9365)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="gender_match",="0.1182",="(0.0831)",="0.0756",="(0.0750)",="0.1090",="(0.0671)",="0.0381",="(0.0719)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="weather_lied",="-0.1602",="(0.4583)",="-0.2591",="(0.5425)",="0.0457",="(0.4589)",="-0.2994",="(0.4998)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_Trad",="",="",="0.3077",="(0.4132)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_Trad",="",="",="-1.0471+",="(0.5678)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_Trad",="",="",="0.4095",="(0.4253)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="trad_rules_bi",="",="",="0.5250+",="(0.3044)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreLoc",="",="",="",="",="-1.0780",="(0.7600)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_MoreLoc",="",="",="",="",="1.0441",="(0.9067)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_MoreLoc",="",="",="",="",="-0.4200+",="(0.2499)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_loc_rules_bi",="",="",="",="",="1.0421**",="(0.3654)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_MoreTrad",="",="",="",="",="",="",="0.5252",="(0.4685)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T_RepDrt_MoreTrad",="",="",="",="",="",="",="-0.8785",="(0.6474)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="RepDrt_MoreTrad",="",="",="",="",="",="",="0.3793",="(0.5969)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="more_trad_rules_bi",="",="",="",="",="",="",="0.4227",="(0.3777)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="(1)",="",="",="",="",="",="",="",="",="0.3230+",="(0.1810)",="0.2464",="(0.3280)",="0.5636*",="(0.2639)",="-0.1757",="(0.2316)",="0.3925+",="(0.2189)",="0.2906",="(0.4686)",="0.3925+",="(0.2189)",="0.0392",="(0.2407)"
="N",="1179",="",="1220",="",="1146",="",="1194",="",="1179",="",="1179",="",="1220",="",="1220",="",="1194",="",="1146",="",="1194",="",="1194",=""
="R-sq",="0.831",="",="0.832",="",="0.822",="",="0.836",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="+ p<.1, * p<.05, ** p<.01, *** p<.001"
